# scripts/wind_driver.py -- APPLIED wind wrench log (world-side disturbance; gt side of the honesty boundary, scoring/audit only)
# world=apriltag entity=x500_mono_cam_0::base_link topic=/world/apriltag/wrench/persistent
# label=gate0 mean_mps=5.0 dir_from_deg=270.0 height_m=6.0 sigma_mps=0.0 tau_s=8.629200809773325 seed=7 rate_hz=20.0
# conditions_provenance=Gate-0 physics probe: synthetic steady wind, NOT a field reading (docs/wind_gate0_prereg.md)
# drag: mass_kg=2.114307692307692 mcoef_per_s=0.15 bcoef=100.0 rho=1.225
# drag_provenance=PX4 defaults + SDF mass, SITL ONLY: EKF2_MCOEF=0.15 1/s and EKF2_BCOEF_X/Y=100 kg/m^2 from src/modules/ekf2/params_drag.yaml; mass 2.114308 kg = x500_base/model.sdf (2.0 + 4*0.016076923) + mono_cam/model.sdf (0.050); rho 1.225 ISA. NOT measured on the real airframe -- do not quote a field number off these.
# columns applied_f_* are what was PUT ON THE WIRE; `published` is whether gz-transport accepted it (ADR-0090 pattern: log what was applied, not what was intended)
t_sim,grid_index,wind_n,wind_e,wind_d,steady_n,steady_e,gust_u,gust_v,v_veh_n,v_veh_e,v_rel_n,v_rel_e,v_rel_mps,a_drag_m_s2,applied_f_n,applied_f_e,applied_f_d,applied_f_world_x,applied_f_world_y,applied_f_world_z,published,publish_error
43.8920,877,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01640,0.01693,-0.01640,4.98307,4.98310,0.89956,-0.00626,1.90193,0.00000,1.90193,-0.00626,-0.00000,1,
43.9440,878,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01643,0.01720,-0.01643,4.98280,4.98283,0.89950,-0.00627,1.90181,0.00000,1.90181,-0.00627,-0.00000,1,
43.9920,879,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01662,0.01796,-0.01662,4.98204,4.98207,0.89934,-0.00634,1.90147,0.00000,1.90147,-0.00634,-0.00000,1,
44.0440,880,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01630,0.01817,-0.01630,4.98183,4.98185,0.89929,-0.00622,1.90137,0.00000,1.90137,-0.00622,-0.00000,1,
44.0920,881,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01576,0.01890,-0.01576,4.98110,4.98112,0.89914,-0.00601,1.90105,0.00000,1.90105,-0.00601,-0.00000,1,
44.1440,882,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01606,0.01947,-0.01606,4.98053,4.98055,0.89902,-0.00613,1.90079,0.00000,1.90079,-0.00613,-0.00000,1,
44.1920,883,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01600,0.01977,-0.01600,4.98023,4.98025,0.89896,-0.00611,1.90066,0.00000,1.90066,-0.00611,-0.00000,1,
44.2440,884,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01584,0.01961,-0.01584,4.98039,4.98042,0.89899,-0.00605,1.90073,0.00000,1.90073,-0.00605,-0.00000,1,
44.2920,885,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01619,0.01924,-0.01619,4.98076,4.98079,0.89907,-0.00618,1.90090,0.00000,1.90090,-0.00618,-0.00000,1,
44.3440,886,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01653,0.01907,-0.01653,4.98093,4.98096,0.89910,-0.00631,1.90097,0.00000,1.90097,-0.00631,-0.00000,1,
